,rating,date,review
66,5,2022-01-27T01:11:32.000Z,"I received amazing service from the…
I received amazing service from the team at Better Music. I first asked if a guitar case was suitable to fit my guitar, and I received a prompt response confirming this would fit. Once I placed the order I had constant communication from Hope who updated me about the shipment of my order. The order arrived so much earlier than expected and the product itself is perfect! Thank you so much team, really appreciate the work you do."
67,5,2022-01-26T23:37:39.000Z,"Thank you for delivering the piano on…
Thank you for delivering the piano on time and really nice, happy and friendly sales team."
68,5,2022-01-26T22:28:24.000Z,"Its always an pleasant experience…
Its always an pleasant experience coming into BetterMusic, the service from everyone is natural, good and every needs are met- truly. I dealt with Bob and he is so jovial, happy knowledgeable and always has time for u.

Thanks a million and a great overall experience-all- always

Brian Beergah"
69,1,2022-01-26T20:02:14.000Z,It took 8 months to receive my speaker.
70,5,2022-01-26T11:26:15.000Z,"Purchased A Tascam CDRW900MK2 CD…
Purchased A Tascam CDRW900MK2 CD Recorder online last Wednesday, Jan 19th.
Excellent service, very polite staff and sent item as promised via StarTrack Express.
Extremely happy with the product which was precisely as advertised.
Recommend the company to anybody looking to purchase electronic or musical products from a reliable online store.
Goods were delivered to Hobart, Tasmania from Victoria,"
71,5,2022-01-26T10:02:20.000Z,"Great flute and fast delivery!
Great flute and fast delivery! Very good experience."
72,5,2022-01-26T06:17:09.000Z,"Really happy
Really happy. Easy online ordering. Quick delivery. Well packed. The pedal unit is better than I expected."
73,5,2022-01-26T01:31:37.000Z,Fast shipping and delivery 👍
74,5,2022-01-26T01:10:35.000Z,"Easy and fast online purchase
Easy and fast online purchase. Goods well packed"
75,5,2022-01-25T14:23:13.000Z,"A sixth Star might wonder why it can't…
A sixth Star might wonder why it can't have a little Twinkle right about here..
Good people to have out there should your Thing be a bit of a mission to locate!
(The K&M guitar stand had to be red; only my guitars knew why!) A call from Kristin-- Plan B
seamlessly activated-- follow-up emails as we held our course through the dreaded Festive Season Vortex! All concluded more than well;
there was even Human Handwriting to be found inside the parcel! My guitars saw that finally I understood...
Thank you all at Better Music in the A.C.T.
where the nightsky has its play upon the hills.
There will be future journeys!
Roger (neither over nor out)."
76,5,2022-01-25T08:27:05.000Z,"Great price and service
Great price and service. Shipping was also fast and well package"
77,5,2022-01-25T06:22:29.000Z,"Excellent service
Excellent service, received quickly and a wonderful product. Thank you"
78,5,2022-01-25T06:01:59.000Z,"Quick delivery!
Ordered some electronic drums and they were delivered from canberra to sydney within a couple days. Great service!"
79,5,2022-01-25T02:45:49.000Z,"Great service by Better Music
Great service by Better Music. My only negative is aganst the Courier company Star Track who were appallingly bad. No accurate info on delivery time."
80,5,2022-01-25T01:46:53.000Z,"Excellent service
Excellent service. Additionally, Jonathan's support and suggestions have been great."
81,5,2022-01-25T01:03:52.000Z,"Great service - lots of fun
Great service from Better Music. Clear and useful advice, rapid and safe delivery, and lots of fun playing."
82,5,2022-01-25T01:01:48.000Z,"My purchase experience was great
My purchase experience was great
The website was easy to navigate and when I finally decided which guitar to purchase it was simple
The day after my purchase they sent me an email saying that they had an issue with the supplier and would have a problem with the dates, but to make up for that, they would change the delivery type to a premium
Bottom line, I didn’t have to wait for the delivery and it was perfect
Now only have to learn to play hahahahahaha"
83,5,2022-01-24T09:37:43.000Z,"Extra fast delivery - very good
The delivery was extra fast from my online order, unexpectedly so. I also liked the personal touch of the note inside that came with the book. Very happy with the purchase and the speed of the delivery will mean I will definitely consider Better Music next time I need music supplies (even though they are in a different state)."
84,5,2022-01-24T08:51:12.000Z,Great service
85,5,2022-01-24T08:18:01.000Z,"great service and very fast delivery…
great service and very fast delivery ,thanks guys I love my Mesa"
86,5,2022-01-24T06:24:59.000Z,"Seamless process
Seamless process. I emailed regarding a preorder item and the team was prompt and very helpful in their reply. Free postage is always a plus and I received my package the same day it was shipped! (To be fair I live in the same city, but still!)."
87,5,2022-01-24T06:01:09.000Z,"5 stars
Great service. Great product.fk yeah."
88,5,2022-01-24T02:40:48.000Z,"Quickly despatched my order
Quickly despatched my order. Delivery time was spot on. Thanks"
89,5,2022-01-24T02:31:52.000Z,"Better Music For A Reason
Excellent communication from staff, microphone delivered to me in the Hunter Valley under 48hrs, package and content perfect condition, zero damage, courier was pleasant and friendly, can’t fault anything. Great job Better Music. Everyone else… please, be like Better Music 😃👏"
90,5,2022-01-24T01:20:29.000Z,Fast delivery and best quality!
91,5,2022-01-24T01:03:02.000Z,"A good music store
A good music store. I highly recommend it!!!"
92,5,2022-01-24T01:01:50.000Z,"Fast delivery
Fast delivery. Well packaged. Good detail on the website."
93,1,2022-01-23T09:52:18.000Z,"The guitar pedal I ordered was…
The guitar pedal I ordered was destroyed on arrival!! This is not a critice’ of the store itself.
I hope I will be sent a replacement. As I have emailed pictures of the damage to the store.
And I am sure the pedal will be replaced.
I guess this is more a reflection of Australia Post."
94,5,2022-01-23T09:44:58.000Z,high quality products with good price
95,5,2022-01-23T01:43:48.000Z,"Fanrastic
Fantastic all round"
96,5,2022-01-23T01:21:14.000Z,"excellent service
Hard to get item, on back order and delivered as expected, good communication throughout."
97,5,2022-01-23T01:33:37.000Z,"Fuzztastic
Great price, product, fast delivery and really careful packaging made purchasing the Wampler Fuzztration a smooth and hassle free process."
98,5,2022-01-22T11:39:56.000Z,"Top service
Top service quick mail out. Highly recommend"
99,3,2022-01-21T12:48:16.000Z,"I chose two red tuners but received two black ones instead
Delivery was quick and the product itself is excellent quality.

But the product photo showed a red tuner, which is what I wanted. So i bought two, and when they arrived and opened the boxes, I saw they are both black. I need these tuners so I have kept them, and I think it would be too complicated to send them back after I opened them. But I am not happy that I was sent black instead of red, as the colour of my gear is part of my artistic presentation. I would appreciate the chance to either exchange them for red ones, or buy two red ones at a very reduced price. I will happily edit this review to a more positive one if this problem is solved."
100,5,2022-01-21T05:26:33.000Z,"Helpful and down to earth service
Helpful and down to earth service. Happy with purchase."
101,5,2022-01-21T05:03:02.000Z,"Awesome products, way more awesome team!
Since the first time I purchased from BetterMusic, the experience is consistently great! What makes them great is not just the products they sell, but the people working their and treating their customers in a superb manner!"
102,5,2022-01-21T04:22:31.000Z,"Good
Good, Fast to be arrived."
103,5,2022-01-21T01:45:43.000Z,"Great online service
Great online service, provided photos for possible options, great delivery and follow up."
104,5,2022-01-21T01:06:21.000Z,"As always
As always, quality gear at a good price. Thank you."
105,5,2022-01-20T22:59:38.000Z,Great product and speedy delivery.
106,5,2022-01-20T05:04:49.000Z,"Very happy they are great to do…
Very happy they are great to do business with 👍"
107,5,2022-01-20T04:22:32.000Z,"Perfect
Great guitar. Well set up. Fast delivery. Couldn't ask for more."
108,5,2022-01-20T01:28:40.000Z,"Wonderful service
Wonderful service. Efficient delivery. Just awesome."
109,5,2022-01-20T01:05:37.000Z,"Prompt delivery in good order
Prompt delivery in good order. Thanks very much!"
110,3,2022-01-19T22:20:53.000Z,"Was disappointed the books i ordered…
Was disappointed the books i ordered were tiny when they looked like A4 size. This makes the books very hard to keep open whilst playing an instrument. I do appreciate the companies response in now making note of the size of the book in the description. I did not realise ""little black book"" literaly meant ""LITTLE black book"""
111,5,2022-01-19T02:04:53.000Z,"Great service
Great service! I ordered a keyboard stand which doesn’t quite fit with the keyboard in my order. They contacted me and helped changing it to a better fitted and cheaper stand. Very helpful and prompt!"
112,5,2022-01-19T01:59:24.000Z,"So pleased with these guys, very helpful!
So pleased with these guys, delivery was very quick. A lady on the phone was very helpful. I even received a note with the package wishing me goodluck on my drums, I thought that’s very sweet and motivating. Will definitely recommend!"
113,5,2022-01-19T01:18:38.000Z,"Awesome!
Everything came packed nice and neat, came pretty quick considering some of the delays I've had during COVID and was exactly what I was after"
114,5,2022-01-19T01:04:44.000Z,"Super fast shipping and came in perfect…
Super fast shipping and came in perfect condition."
115,5,2022-01-18T22:47:59.000Z,"Great product
Great product, great communication, impeccable service"
116,5,2022-01-18T10:59:07.000Z,"Good value
Didn’t want to spend too much and this is perfect"
117,3,2022-01-18T02:00:06.000Z,"Better Music lost my docket and lost my…
Better Music lost my docket and lost my order. Chased them up after 2 weeks and they were apologetic and them got my order to quickly, but was a bit frustrating to have to wait, just luckily someone reminded me to check to see where it was."
118,5,2022-01-18T01:18:28.000Z,"Great customer service and fast shipping
Great customer service and fast shipping, communication was excellent when I made a mistake and wanted to adjust an order the next day."
119,5,2022-01-17T02:21:39.000Z,"I recently purchased a Fender…
I recently purchased a Fender Telecaster on-line.

Excellent service provided throughout transaction to delivery."
120,4,2022-01-17T01:56:56.000Z,"Prompt
Prompt, safe delivery of violin"
121,5,2022-01-17T01:14:46.000Z,Always happy you deal with better music
122,5,2022-01-17T01:05:37.000Z,"Purchase of Mini Maton guitar- I…
Purchase of Mini Maton guitar- I ordered the guitar on a Friday evening and it arrived on the following Tuesday, despite me being interstate. Couldn't be happier with the guitar. Great service."
123,5,2022-01-17T01:03:41.000Z,"Order was quick and hassle free.
Order was quick and hassle free. Great customer service."
124,5,2022-01-16T20:15:34.000Z,Easy process for purchasing gift voucher
125,5,2022-01-15T06:09:20.000Z,"FIVE STARS
Great experience.Fast shipping and excellent customer service."
126,4,2022-01-14T03:31:55.000Z,"I would have given full stars but as we…
I would have given full stars but as we have only just purchased and received the items, I cannot give an opinion as to how our interaction with Better Music would be if we had a problem with the goods.

But, to date the service and customer contact has been wonderful and I would, and have recommended Better Music to others.

Thank you for your service and I hope you all have a wonderful year!"
127,5,2022-01-14T03:11:37.000Z,fast & efficient
128,5,2022-01-14T01:05:13.000Z,"great guitar great value for money very…
great guitar great value for money very please"
129,5,2022-01-13T23:38:12.000Z,"Great Quality
Great Quality , seamless ordering , quick delivery !"
130,5,2022-01-13T06:46:02.000Z,"My review
Stock was plentiful, ordering process was straight forward and considering deliveries are not the best in this times of Omicron it got to me within reasonable time. T"
131,5,2022-01-13T05:38:21.000Z,"Good delivery time, happy with product
Good delivery time, it was very quick and am happy with the product"
132,5,2022-01-13T03:28:55.000Z,"Very good experience
Very good experience. fast shipment, good packaging and authentic product!
Thank you"
133,5,2022-01-13T03:04:31.000Z,"Great folks!
Great folks! Super service."
134,4,2022-01-13T01:39:29.000Z,Fast delivery
135,5,2022-01-13T01:04:43.000Z,"Nomad piano cleaner and polisher
Efficient and prompt service as ever and the product is effective and reasonably priced."
136,3,2022-01-12T12:19:14.000Z,was slow to arrive
137,5,2022-01-12T10:45:04.000Z,"better Music The best.
I have always had a great experience with Better Music and will continue to deal with them if I ever need anything music wise in the future."
138,5,2022-01-12T05:06:04.000Z,"Great service
Rapid, effortless service! Thank you!"
139,5,2022-01-12T04:31:41.000Z,"Fantastic Customer Service
We had a small issue with our order. Better Music were excellent. They provided great assistance and quickly resolved our issue."
140,5,2022-01-12T02:25:05.000Z,"Easy ordering and quick delivery
The process for ordering a new set of violin strings was very easy and I received the delivery in my mail within a few of days of placing my order, very pleased!"
141,5,2022-01-12T01:11:14.000Z,"Excellent supplier
Excellent supplier. Received my new looping pedal within a few days. Staff were also very helpful when I rang to ask some technical questions on how to use some of its functions."
142,5,2022-01-11T12:27:10.000Z,"I always have best service and best…
I always have best service and best communication. Always get the best price and I never need to bargain or check other shops."
143,5,2022-01-11T04:21:16.000Z,"Yamaha guitar order
Easy ordering, super-fast delivery. I appreciated the product review video & am highly satisfied with my purchase of a Yamaha FG-TA transacoustic guitar."
144,5,2022-01-11T04:19:48.000Z,"On time processing of orders
On time processing of orders! Very happy with their service"
145,5,2022-01-11T02:52:06.000Z,"Very prompt delivery
Very prompt delivery. Exactly what I wanted. Appreciated the personal touch by adding a note on postcard. Very happy to deal with again."
146,5,2022-01-11T01:33:09.000Z,"Boss Compressor Pedal
Boss Compressor arrived in no time. I'm very pleased with the service at Better Music."
147,4,2022-01-11T01:25:44.000Z,"Service was good but product already opened
Service was good; I was able to change from delivery to click-and-collect over the phone (since I am local). The downer was that one of the items I purchased had been previously opened, hence four stars."
148,5,2022-01-11T01:02:29.000Z,"Fantastic service!
High-quality products at much better prices than its competitors. Very quick delivery too, would recommend highly!"
149,5,2022-01-09T01:23:23.000Z,"Efficient
Efficient, speedy delivery. Good product"
150,5,2022-01-08T02:13:55.000Z,"Very prompt service
Very prompt service. Good work!!"
151,5,2022-01-08T01:16:21.000Z,"arrived within the time stated
arrived within the time stated, was very well packed.
thank you"
152,5,2022-01-07T22:27:46.000Z,good service
153,5,2022-01-07T02:52:11.000Z,Order actioned fast and all went smooth.
154,5,2022-01-07T01:01:31.000Z,All round great service
155,5,2022-01-07T00:54:25.000Z,"Good price
Good price, arrived quickly and in pristine condition. Can't ask for anything more."
156,5,2022-01-06T06:00:18.000Z,"Great service and quick delivery
Very helpful when placing an order, answered all questions I had. The delivery was quicker than I expected. Great service."
157,5,2022-01-06T04:14:19.000Z,"Easy ordering and quick…
Easy ordering and quick delivery...Better Music is better!!!"
158,5,2022-01-06T01:13:21.000Z,"Fast delivery and great range of…
Fast delivery and great range of products."
159,5,2022-01-06T01:05:38.000Z,"Easy online shopping
Easy online shopping, good pricing and speedy delivery (despite Covid impacts). Thanks!"
160,5,2022-01-06T01:04:11.000Z,"Great price Great product!
The Tama sizzle hi hat clutch works a dream. Great price with fast shipping, what more could you want! Better Music's communication was above and beyond."
161,5,2022-01-06T00:01:36.000Z,"Great service and advice …
Was looking for a Yamaha C40 guitar recommended for beginners. Saw that Better Music had stock as well a package deal at an attractive price. Spoke with Nathan who offered honest advice and arranged everything over the phone. Online is great but sometimes you need that extra information and confidence to proceed. Guitar was delivered promptly by courier. So, overall, a great experience. Highly recommended."
162,5,2022-01-05T03:22:40.000Z,"Excellent product range
Excellent product range, service and delivery from Better Music. Many thanks!"
163,5,2022-01-05T03:01:19.000Z,"Getting Better and Better...
This isn’t the first time I’ve ordered from Better Music and it certainly won’t be my last. Keep up the good work, cheers!"
164,5,2022-01-05T01:28:35.000Z,Cheapest price and quick delivery!
165,5,2022-01-03T23:46:33.000Z,"I was very happy with the whole…
I was very happy with the whole experience. It was easy to place an order, I received an instant confirmation of order received. It arrived within the specified timeframe. When I called to check on delivery status (I ordered last minute before Christmas) I was given a quick update and promised a follow up phone call soon and they did call me as promised providing all details and assured it will arrive in time. Excellent customer service, very friendly, reliable and very helpful."
166,5,2022-01-03T05:05:32.000Z,"The boss rv6 arrived as promised and in…
The boss rv6 arrived as promised and in great condition. Already used it at church. Thanks to Hope"
167,5,2022-01-02T03:03:07.000Z,"Highly recommended
Great, friendly service. Very fast post. Highly recommended."
168,5,2022-01-01T06:32:33.000Z,"Quick delivery & great product
The item was delivered 11 days before the expected delivery date. The Yamaha MG10XUF is great for everyday use. Highly recommended product and seller."
169,5,2021-12-31T21:28:23.000Z,"Great service and advice
Great service and advice. During lockdown I spoke remotely with a really helpful staff member, Matt, who put together a package of an instrument plus accessories and arranged on-time shipping. He sent photos and videos to help with the selection process."
170,5,2021-12-31T02:20:21.000Z,"I am happy with better music however I…
I am happy with better music however I am annoyed as I wanted to purchase a $35 gift voucher that gets emailed and was going to be charged $10 delivery!!! That's not ok."
171,5,2021-12-31T01:39:28.000Z,"Excellent customer service
Excellent customer service, as per usual! Sales staff couldn't have been more helpful!"
172,5,2021-12-30T10:52:08.000Z,Great price and fast delivery
173,5,2021-12-30T03:20:31.000Z,"Ordering online easy and efficient
Ordering online easy and efficient. Delivery was quick. Have not opened packaging as yet but looks undamaged. Will oder from them again."
174,5,2021-12-30T01:24:01.000Z,"Great customer service and a friendly…
Great customer service and a friendly team!
Super happy with my Gs mini!"
175,5,2021-12-30T01:23:09.000Z,"Positive experience despite me thinking…
Positive experience despite me thinking that ""in stock"" meant it was in the shop.
It was available from the warehouse so didn't get the product when I needed it.
Staff did bend over backwards to try to get it here asap, but Covid mucked that up.

Definitely recommend Better Music, but be wary of what In Stock means."
176,5,2021-12-29T23:52:26.000Z,"It was easy to order online and Better…
It was easy to order online and Better Music contacted me about the delivery. Although I had to speak to several people to organise the local delivery, everyone was polite and efficient."
177,4,2021-12-29T02:26:59.000Z,"Online purchase was easy but delivery…
Online purchase was easy but delivery date was not adhered to. Probably the fault of courier"
178,5,2021-12-29T01:31:56.000Z,"Easy process
Easy process. Good communication. My order is still on its way, but that's expected and I'm able to track progress,"
179,5,2021-12-29T01:16:10.000Z,Great product and fast delivery
180,5,2021-12-28T06:20:57.000Z,"Great!
Friendly, helpful & efficient service. Arrived the very next day! Extremely impressed, highly recommended!"
181,5,2021-12-28T04:56:34.000Z,"Really good online service
Really good online service. You told
Me you didn’t have what I wanted in stock. You showed me my options and it was delivered in 3 days. To Melbourne.
Special thx to Morgan. Very nice person and made my experience pleasant.
Thank you for the good work."
182,5,2021-12-28T04:11:50.000Z,"Easy to follow website with great product information
Easy to follow website with great information on the products. I bought the Yamaha PSR E373 keyboard. All my knowledge about this product came from Better Musics product description plus research on the internet. Better Music are so professional and informative. Recommend their business highly."
183,5,2021-12-28T04:11:01.000Z,"Good
Good violin great value"
184,5,2021-12-28T03:24:15.000Z,"Great price, easy communication, swift action!
At 11 am with four shopping days left before Christmas I enquired about purchasing a particular amplifier for my daughter. My online chat friend confirmed that it was in stock and that it could possibly be delivered within a few business days couriers not withstanding…. With that being the best price and best delivery option I had come across I placed the order and got a shipping notification within two hours. the parcel arrived two days later! So stoked to get it in time. Thank you!"
185,5,2021-12-28T02:09:00.000Z,"Excellent service and Delivery just…
Excellent service and Delivery just prior to Xmas. The front line staff and on line order Dept were all helpful. Highly recommended."
186,5,2021-12-28T01:50:26.000Z,Good fast delivery given the Xmas rush.
187,5,2021-12-28T01:28:53.000Z,"order came fast
order came fast. Helpful friendly staff"
188,5,2021-12-28T01:04:39.000Z,"Absolutely Fantastic Customer Service…
Absolutely Fantastic Customer Service from Sales, Shop, to Warehouse.
Everyone i spoke to whether on the phone or online was supportive and professional to work with."
189,5,2021-12-27T01:59:25.000Z,"Greta customer service, quick delivery, quality product
Customer service was very helpful and the postage was quicker than anticipated, product was perfect. Would purchase form better music again."
190,5,2021-12-26T22:26:24.000Z,"Trombone oil
Phone discussion about types of trombone slide oil was super helpful. It arrived promptly in the post."
191,5,2021-12-26T02:39:11.000Z,Very prompt delivery- thanks
